mean_hit,std_hit,ci_hit,method,feature
0.25280289330922245,0.023398455120344983,0.008373029631054333,1-nn,mfp
0.0,0.0,0.0,1-nn,mordred
0.0,0.0,0.0,1-nn,graphnet
0.2654611211573237,0.015354031306483894,0.005494369539531807,bnn,mfp
0.22875226039783,0.01381717671880483,0.0049444131883507525,bnn,mordred
0.0,0.0,0.0,bnn,graphnet
0.0,0.0,0.0,gnngp,mfp
0.0,0.0,0.0,gnngp,mordred
0.2210970464135021,0.012255127621796763,0.004385441097794315,gnngp,graphnet
0.36178420735382755,0.009372292574117818,0.003353831824809892,gp,mfp
0.37160940325497294,0.010613765345988563,0.003798087150708846,gp,mordred
0.0,0.0,0.0,gp,graphnet
0.3523809523809523,0.008977874749565217,0.0032126912189447037,ngboost,mfp
0.3473779385171791,0.010609656658968838,0.0037966168759413902,ngboost,mordred
0.0,0.0,0.0,ngboost,graphnet
0.2118143459915612,0.013212140795832562,0.004727903863917011,random,mfp
0.0,0.0,0.0,random,mordred
0.0,0.0,0.0,random,graphnet
0.2594333936106088,0.012945448332461779,0.004632469191555209,sngp,mfp
0.23640747438215792,0.016287807681029696,0.005828517123747838,sngp,mordred
0.0,0.0,0.0,sngp,graphnet
