mean_hit,std_hit,ci_hit,method,feature
0.1713704994192799,0.030159115315082908,0.01079230081134735,1-nn,mfp
0.0,0.0,0.0,1-nn,mordred
0.0,0.0,0.0,1-nn,graphnet
0.15505226480836237,0.0062693568694935815,0.0022434605432681163,bnn,mfp
0.16541811846689897,0.0070672108336234584,0.002528968917584032,bnn,mordred
0.0,0.0,0.0,bnn,graphnet
0.0,0.0,0.0,gnngp,mfp
0.0,0.0,0.0,gnngp,mordred
0.1713704994192799,0.006518308197491452,0.0023325466318707792,gnngp,graphnet
0.2123693379790941,0.001776661851426057,0.0006357702784154963,gp,mfp
0.20990127758420443,0.0017635638372892237,0.0006310832142520031,gp,mordred
0.0,0.0,0.0,gp,graphnet
0.1981416957026713,0.005042911228888381,0.0018045826072313994,ngboost,mfp
0.18975029036004645,0.007109078985438268,0.0025439512432948465,ngboost,mordred
0.0,0.0,0.0,ngboost,graphnet
0.16724738675958192,0.005760555989610798,0.0020613884867304684,random,mfp
0.0,0.0,0.0,random,mordred
0.0,0.0,0.0,random,graphnet
0.15580720092915218,0.0054618569365981395,0.0019545004033600316,sngp,mfp
0.16054006968641113,0.009566427194976766,0.0034233020066875026,sngp,mordred
0.0,0.0,0.0,sngp,graphnet
