absCVPParea,absCVPParea_CI_bot,absCVPParea_CI_top,kendall,kendall_CI_bot,kendall_CI_top,method,feature,split
0.20053120866402116,0.030738508597883574,0.03115798611111112,-0.08108705505736534,0.08644477584759443,0.08604246424310992,sngp,mfp,test
0.34652835648148145,0.017992063492063448,0.01768501984126991,0.07932531368393712,0.07718021096165276,0.0763381123214552,sngp,mordred,test
0.32625053736772486,0.022184110449735395,0.018906952711640224,0.018411546501596397,0.08789391597925028,0.08426329995057547,sngp,graphembed,test
0.0,0.0,0.0,0.0,0.0,0.0,sngp,graphnet,test
0.08024540252057616,0.03402925209435627,0.03521322016460905,0.22908950412670998,0.10313272200872936,0.09164881261432783,gp,mfp,test
0.12243680188124634,0.03369362231775426,0.0337739289388595,0.2720373595949738,0.08854217056799393,0.080474673463513,gp,mordred,test
0.11056137474279837,0.0389798601925338,0.03806833755878891,0.149407244592727,0.08539720066445683,0.08225117804725851,gp,graphembed,test
0.0,0.0,0.0,0.0,0.0,0.0,gp,graphnet,test
0.2239613095238095,0.03881849371693122,0.03766133432539681,-0.0038515786116413327,0.08481219171318315,0.08633585191848046,bnn,mfp,test
0.16712255199147555,0.037701669054967635,0.0371660558127572,0.20377028539983152,0.0931680233215706,0.09157287977381703,bnn,mordred,test
0.043635076793062895,0.019082538763962383,0.024193016056731333,0.15871402902015155,0.08435283905268265,0.07552034773598279,bnn,graphembed,test
0.0,0.0,0.0,0.0,0.0,0.0,bnn,graphnet,test
0.06899002425044089,0.037360077711640204,0.03923170194003528,0.13480461167446642,0.0897248836619858,0.08425665339855765,ngboost,mfp,test
0.03124786890064666,0.016123493533215755,0.029195666152263357,0.25795616853751,0.08746296760859268,0.0811973739455698,ngboost,mordred,test
0.05851323210611403,0.027600120333627267,0.035402111809229836,0.0334711177127118,0.08508642942004217,0.08175064342885777,ngboost,graphembed,test
0.0,0.0,0.0,0.0,0.0,0.0,ngboost,graphnet,test
0.0,0.0,0.0,0.0,0.0,0.0,gnngp,mfp,test
0.0,0.0,0.0,0.0,0.0,0.0,gnngp,mordred,test
0.0,0.0,0.0,0.0,0.0,0.0,gnngp,graphembed,test
0.054125936948853606,0.018485137419165194,0.019420988572898285,0.051958421305853604,0.09144090019567833,0.08576100577253173,gnngp,graphnet,test
