mean_hit,std_hit,ci_hit,method,feature
0.3097046413502109,0.03805764162138713,0.013618752150301063,1-nn,mfp
0.0,0.0,0.0,1-nn,mordred
0.0,0.0,0.0,1-nn,graphnet
0.20247136829415313,0.011122586571036252,0.0039801664876702525,bnn,mfp
0.20886075949367086,0.020769435990379812,0.007432247217745906,bnn,mordred
0.0,0.0,0.0,bnn,graphnet
0.0,0.0,0.0,gnngp,mfp
0.0,0.0,0.0,gnngp,mordred
0.2281494876431585,0.013148876635951802,0.004705265075050785,gnngp,graphnet
0.3963230861965039,0.005623905334200501,0.0020124886777059597,gp,mfp
0.38818565400843874,0.008421578877190106,0.0030136232976194196,gp,mordred
0.0,0.0,0.0,gp,graphnet
0.35961422543701027,0.0119653048831531,0.0042817293627273835,ngboost,mfp
0.3604581072935504,0.010338914603012537,0.00369973307548383,ngboost,mordred
0.0,0.0,0.0,ngboost,graphnet
0.19306811332127788,0.014516815413134028,0.005194775679742627,random,mfp
0.0,0.0,0.0,random,mordred
0.0,0.0,0.0,random,graphnet
0.20644966847498494,0.011831094892339073,0.004233702934311933,sngp,mfp
0.20018083182640142,0.016757624632930044,0.005996638960817876,sngp,mordred
0.0,0.0,0.0,sngp,graphnet
