mean,median,kendall,method,feature,statistic
0.13170835915474846,0.13758899397006324,0.23809523809523814,sngp,mfp,Expected Calibration Error
0.1388475018469691,0.14435641790987325,0.04761904761904762,sngp,mordred,Expected Calibration Error
0.08824204002889964,0.08779138213975865,0.23809523809523814,gp,mfp,Expected Calibration Error
0.09737553069361615,0.094406698806275,0.4285714285714286,gp,mordred,Expected Calibration Error
0.09511527461422965,0.09296111499722935,-0.23809523809523814,bnn,mfp,Expected Calibration Error
0.1106046645076121,0.10232929295956845,-0.04761904761904762,bnn,mordred,Expected Calibration Error
0.10221500667466141,0.09919060479859906,-0.5238095238095238,ngboost,mfp,Expected Calibration Error
0.07158515450195922,0.07216444010118932,-0.04761904761904762,ngboost,mordred,Expected Calibration Error
0.163792562023301,0.17574331485616695,0.33333333333333337,gnngp,graphnet,Expected Calibration Error
