absCVPParea,absCVPParea_CI_bot,absCVPParea_CI_top,kendall,kendall_CI_bot,kendall_CI_top,method,feature,split
0.0834858305274972,0.040182426112981645,0.048902871305649076,0.14801400248046423,0.36622078438746364,0.3224577837870609,sngp,mfp,test
0.08720534044145155,0.04167129629629629,0.0529309764309764,-0.2001321914529608,0.28611253951654086,0.30015512723277726,sngp,mordred,test
0.08749134867190424,0.040971754582865706,0.053904087167976025,-0.22859357487886217,0.30293795665266937,0.3077508183181623,sngp,graphembed,test
0.0,0.0,0.0,0.0,0.0,0.0,sngp,graphnet,test
0.10603053684998129,0.058097502805836115,0.07687373737373734,-0.06222865345012143,0.3315493439414394,0.3229273143313947,gp,mfp,test
0.3320711279461279,0.07113888888888881,0.06313089225589225,0.49720341988045585,0.324608808609374,0.24830408232607531,gp,mordred,test
0.20607917134306025,0.10910596707818931,0.09526763000374106,0.17282782805721872,0.2759668415101335,0.28842061528026564,gp,graphembed,test
0.0,0.0,0.0,0.0,0.0,0.0,gp,graphnet,test
0.3842731481481481,0.07958038720538718,0.0694305555555555,-0.11711855914191684,0.32616399493607695,0.3353592099532194,bnn,mfp,test
0.3914826038159371,0.07248007856341188,0.05127833894500561,-0.5681024953995105,0.16777756483611717,0.21101724194328925,bnn,mordred,test
0.2662062289562289,0.1177529461279461,0.10333291245791243,-0.20907879815290834,0.27956379213351756,0.31816970724381743,bnn,graphembed,test
0.0,0.0,0.0,0.0,0.0,0.0,bnn,graphnet,test
0.1524032454171343,0.08801865881032547,0.1093812663673775,0.0,0.0,0.0,ngboost,mfp,test
0.20305307706696596,0.08113949682005238,0.12270449869060973,0.1032240070596287,0.355476259311881,0.3060562959706742,ngboost,mordred,test
0.11609231200897867,0.061097923681257015,0.10118462401795723,0.10192620608152955,0.31105890074113,0.29449178725427194,ngboost,graphembed,test
0.0,0.0,0.0,0.0,0.0,0.0,ngboost,graphnet,test
0.0,0.0,0.0,0.0,0.0,0.0,gnngp,mfp,test
0.0,0.0,0.0,0.0,0.0,0.0,gnngp,mordred,test
0.0,0.0,0.0,0.0,0.0,0.0,gnngp,graphembed,test
0.22378282828282822,0.09695318930041147,0.08682323232323233,0.34001556978994213,0.36764228737888316,0.30055499085149945,gnngp,graphnet,test
