mean,median,kendall,method,feature,statistic
0.20827132936507936,0.3375289351851852,0.7142857142857143,sngp,mfp,Absolute Miscalibration Area
0.23085110780423282,0.37131076388888884,0.7142857142857143,sngp,mordred,Absolute Miscalibration Area
0.23282490079365084,0.25050636574074076,1.0,gp,mfp,Absolute Miscalibration Area
0.2260584307025279,0.2478298611111111,0.7142857142857143,gp,mordred,Absolute Miscalibration Area
0.1983150995737801,0.0889917695473251,-0.33333333333333337,bnn,mfp,Absolute Miscalibration Area
0.1258106444738389,0.07016782407407404,-0.23809523809523814,bnn,mordred,Absolute Miscalibration Area
0.03321345899470899,0.030815972222222196,-0.14285714285714288,ngboost,mfp,Absolute Miscalibration Area
0.06246210868606703,0.05888310185185187,0.23809523809523814,ngboost,mordred,Absolute Miscalibration Area
0.1538651436654909,0.13852719907407404,0.6190476190476191,gnngp,graphnet,Absolute Miscalibration Area
