absCVPParea,absCVPParea_CI_bot,absCVPParea_CI_top,kendall,kendall_CI_bot,kendall_CI_top,method,feature,split
0.0701701646090535,0.03477921810699588,0.05566059670781896,0.057591858448114326,0.27030759999048504,0.28672785693261066,sngp,mfp,test
0.06985895061728395,0.034159362139917694,0.05411995884773663,0.0859575921290189,0.280273088636922,0.27902075694527606,sngp,mordred,test
0.07447458847736625,0.0371391975308642,0.04953518518518517,-0.01722985110884685,0.3339304785570587,0.3094117884999311,sngp,graphembed,test
0.0,0.0,0.0,0.0,0.0,0.0,sngp,graphnet,test
0.060254526748971186,0.03278539094650203,0.06513899176954724,-0.2127358243358114,0.25761395149391236,0.2567807797969339,gp,mfp,test
0.13958878600823044,0.07386604938271601,0.09590504115226339,0.17714031515587778,0.2977364660724471,0.2747942086536461,gp,mordred,test
0.20131265432098766,0.09104773662551441,0.09469043209876543,0.018444162949807063,0.28261424445563854,0.2801635859221853,gp,graphembed,test
0.0,0.0,0.0,0.0,0.0,0.0,gp,graphnet,test
0.35958796296296297,0.08613888888888888,0.07158487654320977,0.20966003582617992,0.274422649632187,0.24876897300616146,bnn,mfp,test
0.10692572016460904,0.06947716049382717,0.09712520576131685,-0.1438022827629889,0.24958429215498407,0.27857005958615555,bnn,mordred,test
0.21384228395061722,0.08977592592592587,0.09325648148148147,0.049457779865681346,0.2850694504817951,0.30768935956563076,bnn,graphembed,test
0.0,0.0,0.0,0.0,0.0,0.0,bnn,graphnet,test
0.11250514403292178,0.06353909465020571,0.09428497942386832,0.05591524457437064,0.27450274228175553,0.2518957169621531,ngboost,mfp,test
0.10744094650205761,0.043449176954732535,0.06150195473251023,-0.13827692397645616,0.26039798468668895,0.24995623027528563,ngboost,mordred,test
0.08715771604938269,0.052898456790123456,0.09247962962962963,-0.15612755131193023,0.22452097513113306,0.23222380324861241,ngboost,graphembed,test
0.0,0.0,0.0,0.0,0.0,0.0,ngboost,graphnet,test
0.0,0.0,0.0,0.0,0.0,0.0,gnngp,mfp,test
0.0,0.0,0.0,0.0,0.0,0.0,gnngp,mordred,test
0.0,0.0,0.0,0.0,0.0,0.0,gnngp,graphembed,test
0.2117043209876543,0.10245277777777774,0.09761666666666663,-0.07787181355584437,0.28278159553506477,0.27701839765671166,gnngp,graphnet,test
