mean,median,kendall,method,feature,statistic
0.09870355374169974,0.09481975569357592,0.04761904761904762,sngp,mfp,Expected Calibration Error
0.17135220590909592,0.18081511364631014,-0.23809523809523814,sngp,mordred,Expected Calibration Error
0.09457705282583921,0.10000203748947604,0.8095238095238096,gp,mfp,Expected Calibration Error
0.08150122451299606,0.0883289384711567,-0.14285714285714288,gp,mordred,Expected Calibration Error
0.08632999184143712,0.0723018281206683,0.14285714285714288,bnn,mfp,Expected Calibration Error
0.09736819848522378,0.10014878851783146,-0.6190476190476191,bnn,mordred,Expected Calibration Error
0.0754444223124621,0.07140727438628686,-0.23809523809523814,ngboost,mfp,Expected Calibration Error
0.08408546915049221,0.0800223079172598,-0.4285714285714286,ngboost,mordred,Expected Calibration Error
0.16476074795879006,0.16855477475289166,-0.23809523809523814,gnngp,graphnet,Expected Calibration Error
