mean,median,kendall,method,feature,statistic
0.18852797023287252,0.17619755946404583,-0.4622060139686059,sngp,mfp,Expected Calibration Error
0.20792512039801497,0.20229913537667366,-0.36499226314489264,sngp,mordred,Expected Calibration Error
0.12995717308086946,0.12670275753241572,-0.37284155912650324,gp,mfp,Expected Calibration Error
0.13638926789426445,0.1268750763219994,-0.17346944119359414,gp,mordred,Expected Calibration Error
0.1425886702721668,0.11473557341220611,-0.5000013950086283,bnn,mfp,Expected Calibration Error
0.17554695032099982,0.13530908153481078,-0.5094193092065276,bnn,mordred,Expected Calibration Error
0.12848239962816077,0.11602632861854908,-0.6522764960718405,ngboost,mfp,Expected Calibration Error
0.12036845555158322,0.09849730215089494,-0.7339091742805907,ngboost,mordred,Expected Calibration Error
0.17799703470784145,0.16260505221325372,-0.5047097316175612,gnngp,graphnet,Expected Calibration Error
