mean,median,kendall,method,feature,statistic
0.24859129608633576,0.2958829365079365,0.9047619047619049,sngp,mfp,Absolute Miscalibration Area
0.323559670781893,0.3728918650793651,0.8095238095238096,sngp,mordred,Absolute Miscalibration Area
0.1594860166288738,0.1691881613756614,1.0,gp,mfp,Absolute Miscalibration Area
0.19204695767195767,0.20039682539682538,0.4285714285714286,gp,mordred,Absolute Miscalibration Area
0.1441510246073738,0.11512070105820103,-0.5238095238095238,bnn,mfp,Absolute Miscalibration Area
0.06863740866717057,0.04699900793650791,-0.23809523809523814,bnn,mordred,Absolute Miscalibration Area
0.0550778953556731,0.06221064814814811,0.6190476190476191,ngboost,mfp,Absolute Miscalibration Area
0.02062468505920886,0.021618716931216905,-0.23809523809523814,ngboost,mordred,Absolute Miscalibration Area
0.09406297241118668,0.11722424309229863,-0.33333333333333337,gnngp,graphnet,Absolute Miscalibration Area
