ece,ece_CI_bot,ece_CI_top,mce,mce_CI_bot,mce_CI_top,auroc,auroc_CI_bot,auroc_CI_top,R^2,R^2_CI_bot,R^2_CI_top,brier,brier_CI_bot,brier_CI_top,method,feature,split
0.38688523436418043,0.2697124592061346,0.08676183712350022,0.9256771784384384,0.6135351743811712,0.07432282156156156,0.6598389590734094,0.16490638645246739,0.15550014690873182,-114.9049024607213,713.875179309713,115.67012237476231,0.09724729785428426,0.011695078296379828,0.012939913534751636,sngp,mfp,test
0.3230548460855278,0.09604759266130761,0.09092921723863959,0.7232418424124756,0.25615608353642016,0.2062748939634943,0.8748630355564437,0.09744354594424998,0.07740818388000847,-1.1625885318536038,5.281878329736957,1.4671575378608,0.044505245872899404,0.016568503584997847,0.017699586620496224,sngp,mordred,test
0.29572667145245624,0.079322192390675,0.09000056533276848,0.8569931888553899,0.41267971152382443,0.1430068111446101,0.8547565990553605,0.10119527323829869,0.08297974190042023,-0.8702806050371286,4.092310776667409,1.3510292351390898,0.04648927778938304,0.016125554213711868,0.018411760535858867,sngp,graphembed,test
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sngp,graphnet,test
0.3237421618599128,0.08941521730962765,0.08856819916357489,0.8759545412836318,0.2406657622455497,0.12404545871636813,0.7747599375232678,0.1423451752591846,0.12386731377536497,-4.957310042464366,23.3229050146328,5.077000900047597,0.04865828672345453,0.017716207240036655,0.019212791781201288,gp,mfp,test
0.24065336721099828,0.11432428595944541,0.1383448200812386,0.6837529662598238,0.3698458589737609,0.2501615753894985,0.8613030147757614,0.09871366775430712,0.08262396022728469,-0.2998142583277344,2.9847050154813917,1.0698243689906504,0.04208022893298381,0.01525431471604812,0.01686181332531811,gp,mordred,test
0.31946498319376077,0.08179635842233836,0.08064100336148389,0.7797676095409545,0.30696022994367855,0.22023239045904558,0.8614878979341547,0.10302260785603773,0.08930410464053795,-2.2443318644247423,7.995349267638934,2.4035867181421784,0.04456903030872446,0.015402131225661973,0.017148287303440826,gp,graphembed,test
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gp,graphnet,test
0.3493759090043919,0.12123371941412603,0.0998111316064818,0.7854732160610617,0.33300011206097013,0.21054461418573167,0.6966931495906927,0.17148947275921628,0.16024223643815477,-33.78710979662391,24.21151813663996,34.06992328054799,0.056850164900719403,0.022426184684987485,0.02488032228078265,bnn,mfp,test
0.22210191706461407,0.09689662316637822,0.13938821072983626,0.5877106738552678,0.26381508738698844,0.27122846076144735,0.9078818956328247,0.06817121715375135,0.05293276678183123,-0.10148834267350072,2.9638651277255477,0.8209987399914891,0.04204974655714801,0.014778640778431145,0.017218689851308738,bnn,mordred,test
0.36296607742013354,0.05309308878805888,0.05577206866659837,0.9137161476597702,0.17350501277347802,0.0862838523402299,0.8578764061752537,0.11191958137582447,0.09030263704383928,-4.170021678283888,9.474166620153618,3.356046148212278,0.04481934750757943,0.015799519693270835,0.017980411296470135,bnn,graphembed,test
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bnn,graphnet,test
0.2695066924929416,0.127939264060146,0.14425274354382303,0.7463119795930448,0.25840885338807723,0.2536880204069551,0.8239696412864556,0.11685033712161097,0.0952640374751752,-10.815008857514336,97.2994317103546,11.368017182129542,0.049981451735992964,0.020778021666156672,0.02432884008116571,ngboost,mfp,test
0.24689301305644112,0.11370772027255016,0.13994780633110548,0.6828954938211171,0.30833172177903523,0.31710450617888286,0.8189771722332944,0.1317407369929967,0.11307602117113802,-1.2009278449306127,4.903246320084046,1.9011270450862203,0.044796453684156766,0.018754041935872004,0.02162931983410763,ngboost,mordred,test
0.3327455540327387,0.09805943100295897,0.09245595964680073,0.8319084883301501,0.2461903186928692,0.10511183485938042,0.8256975223008832,0.13000449737530723,0.10547989033306321,-4.695617698446457,4.665725714796159,4.68601552649615,0.044586699305439154,0.017524695296273356,0.019135699508781117,ngboost,graphembed,test
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ngboost,graphnet,test
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gnngp,mfp,test
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gnngp,mordred,test
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gnngp,graphembed,test
0.31959319969092437,0.11471059785027668,0.08260692659546337,0.7342171883925566,0.35145051219980483,0.05602380719336186,0.7169832959926514,0.18649381801646292,0.16776119944050694,-2.2280999659933074,7.727795018485448,2.4934801897077126,0.0490826169042638,0.02117474951411832,0.024594197059788842,gnngp,graphnet,test
