mean_hit,std_hit,ci_hit,method,feature
0.4385185185185185,0.11962676295154907,0.042807887345925985,1-nn,mfp
0.0,0.0,0.0,1-nn,mordred
0.0,0.0,0.0,1-nn,graphnet
0.39259259259259266,0.050944441078664894,0.01823023411140802,bnn,mfp
0.41703703703703704,0.06131167984200083,0.02194010285749244,bnn,mordred
0.0,0.0,0.0,bnn,graphnet
0.0,0.0,0.0,gnngp,mfp
0.0,0.0,0.0,gnngp,mordred
0.1892592592592593,0.042210849670481373,0.01510495856350834,gnngp,graphnet
0.8381481481481481,0.032796081936685734,0.01173592719801352,gp,mfp
0.9533333333333331,0.020767178916853604,0.0074314395343575285,gp,mordred
0.0,0.0,0.0,gp,graphnet
0.7855555555555555,0.03550343401926769,0.012704740698416157,ngboost,mfp
0.9588888888888889,0.019277057303219408,0.0068982063631647435,ngboost,mordred
0.0,0.0,0.0,ngboost,graphnet
0.27629629629629626,0.04414093900870987,0.01579563216295968,random,mfp
0.0,0.0,0.0,random,mordred
0.0,0.0,0.0,random,graphnet
0.3714814814814816,0.04958123677138884,0.017742417715013597,sngp,mfp
0.3433333333333334,0.06346315479442309,0.02270999828154714,sngp,mordred
0.0,0.0,0.0,sngp,graphnet
